inventor_name,country,patent_count
Shunpei Yamazaki,Unknown,161
Kia Silverbrook,Unknown,102
Tao Luo,Unknown,97
Jonathan P. Ive,Unknown,70
Kangguo Cheng,Unknown,66
Peter Gaal,Unknown,62
Bartley K. Andre,Unknown,61
Duncan Robert Kerr,Unknown,59
Richard P. Howarth,Unknown,57
Junyi Li,Unknown,54
Peter Russell-Clarke,Unknown,54
Wanshi Chen,Unknown,54
Daniel J. Coster,Unknown,48
"Frederick E. Shelton, Iv",Unknown,48
Jing Sun,Unknown,43
Chen-Hua Yu,Unknown,41
Daniele De Iuliis,Unknown,40
Christopher J. Stringer,Unknown,39
Esmael Hejazi Dinan,Unknown,39
Rico Zörkendörfer,Unknown,39
